revision,datetime,creator,display_name,status
/en-US/kb/what-mozilla-maintenance-service/revision/254392,2022-12-08T00:43:32-08:00,/en-US/user/Toad-Hall/,Toad-Hall,approved
/en-US/kb/what-mozilla-maintenance-service/revision/254344,2022-12-07T03:36:33-08:00,/en-US/user/lsiebert/,Lucas Siebert,approved
/en-US/kb/what-mozilla-maintenance-service/revision/250522,2022-09-17T03:59:14-07:00,/en-US/user/jamie.aurorac/,jamie.aurorac,approved
/en-US/kb/what-mozilla-maintenance-service/revision/247122,2022-06-30T21:41:44-07:00,/en-US/user/denyshon/,Denys,approved
/en-US/kb/what-mozilla-maintenance-service/revision/247120,2022-06-30T21:40:17-07:00,/en-US/user/denyshon/,Denys,unreviewed
/en-US/kb/what-mozilla-maintenance-service/revision/246828,2022-06-23T23:14:32-07:00,/en-US/user/Toad-Hall/,Toad-Hall,unreviewed
/en-US/kb/what-mozilla-maintenance-service/revision/238601,2022-02-25T19:28:31-08:00,/en-US/user/AliceWyman/,AliceWyman,approved
/en-US/kb/what-mozilla-maintenance-service/revision/238513,2022-02-23T21:27:21-08:00,/en-US/user/AliceWyman/,AliceWyman,approved
/en-US/kb/what-mozilla-maintenance-service/revision/217096,2021-03-24T12:32:11-07:00,/en-US/user/jeff.youmans/,Jeff,approved
/en-US/kb/what-mozilla-maintenance-service/revision/145796,2017-09-21T03:25:02-07:00,/en-US/user/heyjoni/,Joni,approved
/en-US/kb/what-mozilla-maintenance-service/revision/129298,2016-08-02T03:38:22-07:00,/en-US/user/AliceWyman/,AliceWyman,approved
/en-US/kb/what-mozilla-maintenance-service/revision/129291,2016-08-02T02:56:53-07:00,/en-US/user/AliceWyman/,AliceWyman,rejected
/en-US/kb/what-mozilla-maintenance-service/revision/124300,2016-05-29T19:07:35-07:00,/en-US/user/underpass/,Underpass,rejected
/en-US/kb/what-mozilla-maintenance-service/revision/124201,2016-05-28T09:44:08-07:00,/en-US/user/AliceWyman/,AliceWyman,approved
/en-US/kb/what-mozilla-maintenance-service/revision/124193,2016-05-28T05:25:20-07:00,/en-US/user/ideato/,ideato,unreviewed
/en-US/kb/what-mozilla-maintenance-service/revision/119237,2016-03-05T02:30:25-08:00,/en-US/user/buluma_michael/,Michael Buluma,approved
/en-US/kb/what-mozilla-maintenance-service/revision/117532,2016-02-16T11:17:12-08:00,/en-US/user/Artist/,Artist,approved
/en-US/kb/what-mozilla-maintenance-service/revision/117459,2016-02-16T02:43:22-08:00,/en-US/user/Artist/,Artist,approved
/en-US/kb/what-mozilla-maintenance-service/revision/117358,2016-02-15T04:50:37-08:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/what-mozilla-maintenance-service/revision/112485,2015-12-24T06:34:16-08:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/what-mozilla-maintenance-service/revision/104416,2015-09-12T20:34:20-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/what-mozilla-maintenance-service/revision/103715,2015-09-03T19:59:55-07:00,/en-US/user/pollti/,pollti,approved
/en-US/kb/what-mozilla-maintenance-service/revision/103691,2015-09-03T14:17:45-07:00,/en-US/user/Artist/,Artist,rejected
/en-US/kb/what-mozilla-maintenance-service/revision/103600,2015-09-02T19:59:40-07:00,/en-US/user/pollti/,pollti,rejected
/en-US/kb/what-mozilla-maintenance-service/revision/103579,2015-09-02T09:04:26-07:00,/en-US/user/AliceWyman/,AliceWyman,approved
/en-US/kb/what-mozilla-maintenance-service/revision/103573,2015-09-02T07:07:04-07:00,/en-US/user/wsmwk/,Wayne Mery,approved
/en-US/kb/what-mozilla-maintenance-service/revision/103563,2015-09-02T04:24:42-07:00,/en-US/user/heyjoni/,Joni,approved
/en-US/kb/what-mozilla-maintenance-service/revision/103553,2015-09-02T00:50:29-07:00,/en-US/user/AliceWyman/,AliceWyman,approved
