Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/ja/kb/filelink-large-attachments,"583,775","413,592",00:05:03,"396,258",10.81%,68.12%,$0.00
/en-US/kb/enhanced-tracking-protection-firefox-desktop,"571,413","486,296",00:02:09,"401,547",29.88%,70.72%,$0.00
/en-US/kb/permission-request-messages-firefox-extensions,"564,781","514,778",00:03:34,"475,861",23.25%,81.96%,$0.00
/en-US/products/mobile,"523,794","401,761",00:01:35,"328,426",58.35%,55.31%,$0.00
/en-US/kb/windows-10-warns-me-use-microsoft-verified-app,"513,077","440,935",00:02:37,"416,491",8.66%,70.26%,$0.00
/en-US/kb/update-firefox-latest-release?entrypoint=mozilla.org-whatsnew115,"498,450","393,810",00:01:55,"392,822",12.04%,72.44%,$0.00
/en-US/kb/install-firefox-linux,"485,680","356,188",00:03:14,"295,500",8.04%,67.63%,$0.00
/en-US/products/firefox/install-and-update-firefox,"484,271","388,155",00:00:58,"255,493",28.54%,45.39%,$0.00
/fr/products/firefox,"484,069","411,653",00:01:18,"347,235",59.68%,58.88%,$0.00
/it/kb/rilevamento-captive-portal,"483,111","463,773",00:08:03,"463,352",48.43%,95.37%,$0.00
/en-US/kb/xframe-neterror-page,"470,901","420,001",00:03:30,"411,101",37.70%,86.15%,$0.00
/ru/kb/preduprezhdenie-nebezopasnyj-vvod-parolya-v-firefox,"466,720","387,653",00:02:31,"385,706",53.35%,81.51%,$0.00
/zh-CN/products/firefox,"432,252","293,664",00:00:40,"203,138",53.04%,43.68%,$0.00
/es/products/thunderbird,"430,497","258,830",00:00:32,"250,547",75.59%,54.44%,$0.00
/en-US/kb/push-notifications-firefox,"419,303","390,255",00:04:08,"376,070",29.94%,88.43%,$0.00
/de/kb/firefox-auf-die-letzte-version-aktualisieren,"416,410","318,387",00:02:18,"260,554",7.54%,66.86%,$0.00
/en-US/kb/how-pin-and-unpin-firefox-taskbar-windows-10-and-windows-11?redirectslug=how-unpin-firefox-taskbar-windows-10&redirectlocale=en-US,"414,713","376,327",00:03:12,"357,509",7.50%,77.99%,$0.00
/en-US/kb/does-firefox-share-my-location-websites?redirectslug=does-firefox-share-my-location-web-sites&redirectlocale=en-US,"407,139","389,421",00:03:42,"385,534",42.47%,93.67%,$0.00
/en-US/kb/enhanced-tracking-protection-firefox-android,"400,752","331,112",00:03:01,"320,692",28.66%,76.05%,$0.00
/de/kb/neuerungen-in-firefox-fuer-android,"400,161","350,024",00:04:02,"344,545",35.59%,83.52%,$0.00
/en-US/kb/make-firefox-default-browser-android,"391,933","290,281",00:02:44,"276,417",21.38%,66.32%,$0.00
/en-US/kb/update-firefox-latest-release?entrypoint=mozilla.org-whatsnew112,"389,863","314,732",00:02:05,"314,687",12.67%,75.03%,$0.00
/en-US/kb/performance-settings,"383,610","351,143",00:02:58,"292,589",24.71%,77.84%,$0.00
/en-US/kb/update-firefox-latest-release?entrypoint=mozilla.org-whatsnew116,"372,629","293,648",00:01:55,"293,254",12.83%,73.30%,$0.00
/de/kb/firefox-einstellungen,"372,412","322,408",00:02:31,"286,612",20.86%,63.49%,$0.00
/en-US/contribute,"371,982","292,343",00:01:09,"25,859",61.02%,39.02%,$0.00
/de/kb/filelink-fuer-grosse-dateianhaenge,"369,148","285,357",00:05:18,"275,151",12.88%,74.60%,$0.00
/pl/kb/thunderbird-i-niechciane-wiadomoci,"367,197","295,889",00:03:53,"293,872",47.56%,79.81%,$0.00
/en-US/kb/how-to-set-the-home-page,"365,768","256,625",00:05:21,"220,298",9.98%,61.92%,$0.00
/en-US/kb/what-does-your-connection-is-not-secure-mean,"360,087","289,445",00:02:20,"194,372",38.23%,63.43%,$0.00
/en-US/kb/filelink-large-attachments,"357,540","288,656",00:05:34,"277,551",10.44%,78.08%,$0.00
/it/products/thunderbird,"355,539","224,607",00:00:40,"214,205",70.96%,53.58%,$0.00
/de/,"353,573","280,581",00:01:30,"194,902",68.88%,55.41%,$0.00
/zh-CN/kb/firefox-android,"352,014","276,840",00:03:02,"270,497",41.16%,71.80%,$0.00
